Sr. No.,Sector Name,Line Ministry,Implementing Agency,Project Code,Project Name,"Original Cost
(in cr.)","Revised Cost
(in cr.)","Expenditure
(in cr.)","Physical Progress
(in %)","Original
Date of Commissioning","Revised
Date of Commissioning",Sanction Date
159,Education,Department of Higher Education,"Indian intitue of Management, Amritsar",605292,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar, Punjab, Phase-I",348,0,290.39,91,30-06-2023,30-09-2026,01-10-2019
160,Education,Department of Higher Education,"National Institute of Technology, Arunachal Pradesh",612898,Construction of Permanent Campus of National Institute of Technology Arunachal Pradesh,593,0,550.61,80,31-08-2026,31-08-2024,17-09-2009
161,Education,Department of Higher Education,"Indian Institute of Technology, Hyderabad",609996,Construction of Precast housing and hostels at IIT Hyderabad,262,0,200.11,83,23-10-2024,01-01-2026,29-09-2022
162,Education,Department of Higher Education,Sikkim University,609736,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South Sikkim",314,0,278.69,89,04-01-2025,31-03-2026,01-08-2020
163,Education,Department of Higher Education,Delhi University,616886,Delhi University Eastern Campus at Surajmal Vihar,373,0,27.63,10,31-10-2026,,30-09-2024
164,Education,Department of Higher Education,NIT Nagaland,613013,Establishment of NIT Nagaland,276,0,261.7,98,31-12-2025,,17-09-2009
165,Education,Department of Higher Education,"National Institute of Technology, Puducherry",612877,Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II],618,544.34,530.88,98,31-12-2024,31-05-2026,17-09-2009
166,Education,Department of Higher Education,NIT Sikkim,612883,Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District,686,610.76,171.56,25,12-02-2028,31-12-2026,12-02-2024
167,Education,Department of Higher Education,"Indian Institute of Management, Sirmaur",602099,Establishment of Permanent campus Phase 1 of IIM Sirmaur,393,454.78,329.07,95,31-10-2023,28-02-2026,17-09-2018
168,Education,Department of Higher Education,"Indian Institute of Technology, Kharagpur",609019,"HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur",500,442,403.6,93,31-03-2023,31-03-2026,25-06-2018
169,Education,Department of Higher Education,"Indian Institute of Technology, Mandi",612128,Hostel blocks & dining hall block,167,0,102.52,78,26-03-2026,26-03-2026,28-03-2023
170,Education,Department of Higher Education,"Indian Institutes of Science Education and Research, Behrampur",610315,IISER BERHAMPUR,1229,843.09,835.6,98,31-03-2021,30-06-2026,24-10-2018
171,Education,Department of Higher Education,National Institute of Technology Delhi,612851,"Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors Residence and External Development works at National Institute of Technology, Delhi Campus on Engineering, Procurement and Construction basis",333,336.42,304.15,98,30-09-2025,31-01-2026,17-09-2009
172,Education,Department of Higher Education,"Indian Institute of Technology, Bhilai",617877,Phase B of Construction of Permanent Campus of IIT Bhilai,1189,0,0,0,31-10-2028,,29-05-2025
173,Education,Department of Higher Education,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,617878,Phase B of Construction of Permanent Campus of IIT Palakkad,1527,0,9.8,0,31-10-2028,,29-05-2025
174,Education,Department of Higher Education,"Indian Institute of Technology, Indore",611957,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy & Sophisticated lab complex, Academic POD and Infrastructure for center of excellence]",496,0,56.35,44,19-02-2027,,27-12-2023
175,Education,Department of Higher Education,Tezpur University,606112,Tezpur University Projects,154,0,125.03,97,08-11-2023,31-12-2025,29-05-2019
176,Education,Department of Sports,Department of Sports & Youth Affairs,400081,"National Sports University [NSU], Imphal [Manipur]",906,611.74,569.37,96,26-08-2024,08-08-2026,
177,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],618992,100 MW SPP part of SECI 150 MW Hybrid,481,0,2.57,1,31-12-2026,,21-07-2022
178,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],618991,200 MW SPP part of 510 MW CPSU scheme,1221,0,63.57,0,31-12-2026,,21-07-2022
179,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],612819,300 MW SPP part of 510 MW CPSU scheme,1813,1813,1752.16,100,27-09-2024,31-12-2025,21-07-2022
180,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],615327,50 MW Solar PP Minedout Area,218,0,166.55,100,31-03-2025,31-12-2025,05-08-2023
181,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],617299,50 MW Wind Power Project,384,0,323.92,51,30-06-2025,31-01-2026,21-07-2022
182,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],617730,600 MW Khavda Solar Power Project,3336,0,1378.51,28,30-06-2026,,01-08-2023
183,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],400259,Ghatampur Thermal Power Plant 3 X 660 MW,17238,21780.9,20967.3,94,26-11-2020,25-03-2026,27-07-2016
184,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],400231,NLC Talabira Thermal Power Project,27213,0,2616.26,1,31-03-2030,,25-01-2017
185,Electricity Generation,Ministry of Power,North Eastern Electric Power Corporation Limited,611699,186 MW Tato-I H E Project,1750,0,61.45,2,29-07-2029,,11-12-2024
186,Electricity Generation,Ministry of Power,North Eastern Electric Power Corporation Limited,611698,240MW Heo HE Project,1939,0,71.88,3,29-07-2029,,11-12-2024
187,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602633,382 MW Sunni Dam HEP,2615,0,495.57,0,31-03-2027,,
188,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,709747,Bagodara Solar Power Project,339,0,317.59,51,31-12-2025,31-12-2025,26-03-2021
189,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602579,Buxar Thermal Power Project [1320 MW],10439,13756.6,13009.5,93,08-01-2024,31-12-2025,08-03-2019
190,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602582,Dhaulasidh Hydro Electric Project [66 MW],688,1561.21,1048.07,72,05-11-2025,31-03-2027,01-10-2020
191,Electricity Generation,Ministry of Power,National Hydroelectric Power Corporation Limited (NHPC),602182,Dibang Multipurpose Project,31876,0,3933.3,16,26-02-2032,26-02-2032,27-02-2023
192,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],618976,"Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]",20446,0,1229.69,5,31-03-2030,,05-11-2024
193,Electricity Generation,Ministry of Power,Damodar Valley Corporation,602538,Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,1037,1106,1123.79,94,22-01-2024,31-05-2026,25-06-2019
194,Electricity Generation,Ministry of Power,National Hydroelectric Power Corporation Limited [NHPC],602532,Kiru HE Project,4288,5409,3313.59,75,07-09-2023,31-12-2026,08-03-2019
195,Electricity Generation,Ministry of Power,Damodar Valley Corporation,611509,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand",14358,0,1632.9,8,14-03-2029,,28-04-2023
196,Electricity Generation,Ministry of Power,National Hydroelectric Power Corporation Limited [NHPC],605155,Kwar HE Project,4526,0,1203.55,26,10-11-2026,31-03-2028,10-05-2022
197,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],611930,Lara Super Thermal Power Project Stage-II [2 x 800 MW],15530,16106,3622.38,23,30-06-2028,30-09-2028,29-08-2023
198,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602593,Luhri Stage-I Hydro Electric Project [210 MW],1811,4681.64,1878.51,51,19-01-2026,28-02-2030,20-11-2020
199,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],619051,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]",29948,0,1930.24,6,31-07-2030,,05-11-2024
200,Electricity Generation,Ministry of Power,National Hydroelectric Power Corporation Limited [NHPC],602525,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW",8112,12728,8057.69,77,27-04-2020,31-12-2026,28-10-2014
201,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],400261,Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW],18668,20302,18186,86,31-03-2023,28-02-2027,07-11-2017
202,Electricity Generation,Ministry of Power,Damodar Valley Corporation,400062,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",17673,0,1508.59,6,30-06-2029,,30-01-2023
203,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],602184,Rammam-III HEPP [3x40 MW],1382,2865.56,1432.07,52,30-09-2019,31-03-2029,10-09-2014
204,Electricity Generation,Ministry of Power,National Hydroelectric Power Corporation Limited (NHPC),605156,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,938,1828.11,1557.72,94,29-05-2024,28-12-2025,30-03-2021
205,Electricity Generation,Ministry of Power,National Hydroelectric Power Corporation Limited [NHPC],602535,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.",5282,0,1415.21,27,10-02-2026,28-11-2028,11-02-2021
206,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],612142,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]",17195,0,2458.83,13,28-02-2030,,03-03-2024
207,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],617188,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",9791,0,1069.05,8,30-09-2029,,20-09-2024
208,Electricity Generation,Ministry of Power,National Hydroelectric Power Corporation Limited (NHPC),602096,Subansiri Lower HE Project [2000 MW],6285,26075.5,25826.4,97,08-09-2010,31-05-2026,09-09-2003
209,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,611586,Sunni Dam Hydro Electric Project [382 MW],2615,4925.87,1042.48,32,03-04-2028,31-12-2029,12-01-2023
210,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],602961,Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion,11844,12543,5442.33,44,31-05-2027,31-03-2028,25-08-2022
211,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],602185,Tapovan-Vishnugad HEP [4x130 MW],2978,10907.3,7401.46,77,31-03-2013,30-04-2029,16-11-2006
212,Electricity Generation,Ministry of Power,National Hydroelectric Power Corporation Limited (NHPC),602181,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",5748,5748.04,4050.79,71,07-03-2024,31-12-2027,08-03-2019
213,Electricity Generation,Ministry of Power,THDC India Limited,602193,Tehri Pumped Storage Plant Project [4x250 MW],4826,8339,8189.07,99,16-06-2022,31-03-2026,08-07-2006
214,Electricity Generation,Ministry of Power,THDC India Limited,602195,Vishnugad Pipalkoti Hydro Electric Project [444 MW],3860,6405.08,5100.28,75,15-12-2022,30-09-2027,21-08-2008
215,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,604833,"Andheri Residential Towers, Mumbai",281,389.67,247.89,57,31-05-2025,30-06-2026,27-06-2017
216,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,617839,Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5 MMTPA,357,304.4,92.3,63,31-07-2026,31-07-2026,29-05-2023
217,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,616235,Construction of Aviation Fuel farm Facilities at Bhogapuram Airport,240,240,146.17,91,31-03-2026,31-03-2026,28-08-2024
218,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,709754,"Construction of LPG Facilities at Kamardanga, Assam",156,156.36,80.88,59,04-07-2027,04-07-2027,30-03-2023
219,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],400077,"Grass root POL Terminal at Vallur, Chennai",827,887.71,641.34,90,31-12-2024,31-03-2026,31-01-2022
220,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],400035,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",656,656,500.52,94,30-09-2025,30-06-2026,28-06-2022
221,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,604852,"Grass-root Terminal at Mirzapur, Uttar Pradesh",980,980.45,255.06,63,30-11-2026,30-11-2026,29-09-2022
222,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,400012,Kandla Gorakhpur LPG Pipeline,10088,10088,8056.6,94,30-12-2021,31-03-2026,31-12-2018
223,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,400043,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],829,829,331.77,71,31-05-2026,31-05-2026,31-01-2022
224,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,617829,LPG Bottling Plant at Mualkhang,226,225.71,16.57,26,10-10-2028,03-11-2027,04-07-2024
225,Energy Storage,Ministry of Petroleum & Natural Gas,"Department of Water Resources, River Development & GR",400301,Multi Product Pipeline from Irugur to Devangonthi,678,1732,943.82,78,25-02-2017,30-09-2026,09-11-2012
226,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,400078,New Mundra Panipat Crude Oil Pipeline,9028,9028,7290.7,89,19-12-2024,30-06-2026,20-12-2021
227,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701349,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,10228,11407,10463,90,27-07-2024,30-06-2026,28-01-2019
228,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],709759,"Petrochemical evacuation marketing terminal at Barmer, Rajasthan",461,461.05,178.98,76,06-12-2026,06-12-2026,07-12-2023
229,Energy Storage,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,701263,Rajasthan Refinery Project,43129,79459,64516.3,90,31-10-2022,31-03-2026,09-10-2017
230,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],709755,"Setting up of new rail fed POL facility at Kamardanga, Assam",384,384.04,183.99,71,04-07-2027,04-07-2027,29-03-2023
231,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701343,Srikakulam Angul Gas Pipeline Project,2658,2810,2300.5,96,22-07-2022,30-06-2026,12-09-2019
232,Healthcare,Ministry of Health & Family Welfare,PMSSY AND Institute of NATIONAL Importance,701171,AIIMS Bibinagar,1028,1365.95,947.53,86,30-06-2026,30-06-2026,17-12-2018
233,Healthcare,Ministry of Health & Family Welfare,PMSSY AND Institute of NATIONAL Importance,701172,AIIMS Darbhanga,1264,0,0,0,30-09-2024,,
234,Healthcare,Ministry of Health & Family Welfare,PMSSY AND Institute of NATIONAL Importance,701167,AIIMS Kashmir at Awantipora Jammu & Kashmir,1828,2160.84,1504.97,73,02-12-2025,30-06-2026,10-01-2019
235,Healthcare,Ministry of Health & Family Welfare,PMSSY AND Institute of NATIONAL Importance,701173,AIIMS Majra Rewari Haryana,1299,1646.43,529.46,51,31-12-2026,31-12-2026,28-02-2019
236,Healthcare,Ministry of Health & Family Welfare,PMSSY AND Institute of NATIONAL Importance,701170,AIIMS Rajkot,1195,0,775.1,93,31-03-2026,31-03-2026,10-01-2019
237,Healthcare,Ministry of Health & Family Welfare,PMSSY AND Institute of NATIONAL Importance,701168,ALL India Institute of Medical Sciences-AIIMS Madurai,1264,2021.51,387.07,46,31-08-2022,31-10-2026,17-12-2018
238,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707022,Establishment of new GMC Chaibasa [Singhbhum],250,454.1,5,42,09-09-2025,,15-06-2018
239,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707039,Establishment of new GMC Gangtok,250,635.21,645.21,88,31-12-2026,,06-10-2018
240,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707070,Establishment of new GMC Hoshiarpur,325,374.75,0,0,31-12-2028,,27-01-2020
241,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707020,Establishment of new GMC Jamui,250,500,86.21,29,06-10-2025,,07-03-2019
242,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707046,Establishment of new GMC Kanker,325,325,20,48,31-03-2027,,19-02-2020
243,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707069,Establishment of new GMC Kapurthala,325,550,0,0,31-12-2028,,27-11-2019
244,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707021,Establishment of new GMC Koderma,250,504.8,255,26,19-08-2026,,05-09-2023
245,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707044,Establishment of new GMC Korba,325,322.85,158.49,45,31-12-2026,,24-02-2023
246,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707045,Establishment of new GMC Mahasamund,325,0,302.5,75,31-05-2026,,19-10-2023
247,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707059,Establishment of new GMC Mandla,325,0,63.41,35,08-04-2026,,04-08-2023
248,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707049,Establishment of new GMC Panchmahal,325,663.5,425.34,33,31-03-2026,,20-09-2022
249,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707087,Establishment of new GMC Pithoragarh,325,768.89,313.08,70,31-12-2026,,25-08-2021
250,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707050,Establishment of new GMC Porbandar,325,618.98,918.64,62,30-09-2024,,05-04-2022
251,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707058,Establishment of new GMC Rajgarh,325,0,158,62,19-04-2024,,08-12-2021
252,Healthcare,Ministry of Health & Family Welfare,"Medical Education, Ministry of Health and Family Welfare",707086,Establishment of new GMC Rudrapur,325,0,261,30,31-12-2026,,04-10-2022
253,Healthcare,Ministry of Health & Family Welfare,PMSSY AND Institute of NATIONAL Importance,617883,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar campuses of AIIMS, New Delhi",4441,0,24.68,61,02-06-2027,,25-10-2016
254,Healthcare,Ministry of Health & Family Welfare,PMSSY AND Institute of NATIONAL Importance,617882,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New Delhi",358,0,0,0,10-09-2026,,11-09-2025
255,Healthcare,Ministry of Labour and Employment,Employee's State Insurance Company [ESIC],612186,350 Bedded [Upgradable to 500 beds] ESI Hospital at Sanand,558,0,63.62,10,04-03-2026,08-05-2027,18-06-2022
